Address,Full Address,Own/Rent,House Type,Bedrooms,Storeys,Basement,House size,House Age,TFA,EPCYear,Energy Efficiency Measures,Fuel Source,Heating System,Hot Water Cylinder,email address,Total cost,Estimate Includes
"3 Forge End, CB22 5BN","3 Forge End, Stapleford, Cambridge, Cambridgeshire",Own,Semi Detached,3,2,No,,,Has EPC,2022,Loft,Mains Gas,,No,stagingnotifications@goodenergy.co.uk,14900,"12kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"94a Oak Tree Road, RG31 6JY","94a Oak Tree Road, Tilehurst, Reading, Berkshire",Own,Detached,4,2,No,,,Has EPC,2023,Wall,Mains Gas,,No,,14100,"16kW Midea Heat Pump,250 Litres Heat Pump Cylinder,Full Installation"
"3 Lower Green, Hertfordshire, AL6 0HZ","3 Lower Green, Tewin, Welwyn, Hertfordshire",Own,Detached,4,2,No,103,1965 to 1980,,,"Loft, Wall, Double Glazing",Mains Gas,,No,stagingnotifications@goodenergy.co.uk,12600,"8kW Midea Heat Pump,250 Litres Heat Pump Cylinder,Full Installation"
"94 Crosslands, MK14 6DD","94 Crosslands, Stantonbury, Milton Keynes, Buckinghamshire",Own,Mid-Terrace,4,2,No,,,Has EPC,,"Loft, Wall, Double Glazing",Mains Gas,,No,,12400,"6kW Midea Heat Pump,250 Litres Heat Pump Cylinder,Full Installation"
"37 Canynge Square, BS8 3LB","Change Regeneration Ltd, 37 Canynge Square, Bristol",Own,Detached,5,4,Yes,449,Pre 1965,Has EPC,2022,Double Glazing,Mains Gas,,No,stagingnotifications@goodenergy.co.uk,19800,"2 x 16kW Midea Heat Pump,300 Litres Heat Pump Cylinder,Full Installation"
"43 Parsonage Road, Long Ashton, Bristol, Somerset, BS41 9LN","43 Parsonage Road, Long Ashton, Bristol, Somerset",Own,Bungalow,3,1,No,,1965 to 1980,,,None,Electricity,Electric boiler,,,13300,"12kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"43 Parsonage Road, Long Ashton, Bristol, Somerset, BS41 9LN","43 Parsonage Road, Long Ashton, Bristol, Somerset",Own,Bungalow,3,1,No,,1965 to 1980,,,None,Electricity,Heat Pump,,stagingnotifications@goodenergy.co.uk,13300,"12kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"2 Tibberton, Bristol, BS15 4JH","2 Tibberton, Bristol, Gloucestershire",Own,End of terrace,3,2,No,150,1981 to 1990,Has EPC,2024,Double Glazing,Mains Gas,,Yes,,12400,"8kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
20 Ferrymans Court,"Flat 20, Ferrymans Court, Queen Street, St. Philips, Bristol",Own,Flat,,,,,,,,,,,,,,
"2 Queen Street, St. Philips, Bristol","2 Queen Street, St. Philips, Bristol",Own,Small Flat,,,,,,,,,,,,,,
"Flat 1, Fountain Court, Buckingham Palace Road, London","Flat 1, Fountain Court, Buckingham Palace Road, London",,,,,,,,,,,,,,,,
"2 Tibberton, Bristol, BS15 4JH","2 Tibberton, Bristol, Gloucestershire",Own,End of terrace,3,2,No,150,1981 to 1990,Has EPC,2024,Double Glazing,Other,,,,,
"House of Commons, Houses of Parliament, London, SW1A 0AA","House of Commons, Houses of Parliament, London",Own,Semi Detached,3,2,No,,1965 to 1980,,,Loft,Mains Gas,,No,stagingnotifications@goodenergy.co.uk,13400,"12kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"17 Vauxhall Street, JE2 4TJ","17 Vauxhall Street, St. Helier, Jersey, Channel Isles",Own,Semi Detached,3,2,No,,1965 to 1980,,,Loft,Mains Gas,,No,stagingnotifications@goodenergy.co.uk,14200,"10kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"The Old Pool House, RG20 7LU","The Old Pool House, Stanmore Road, East Ilsley, Newbury, Berkshire",Own,Bungalow,4,2,No,,,Has EPC,2015,"Loft, Wall, Double Glazing",Mains Gas,,Yes,,13600,"12kW Midea Heat Pump,250 Litres Heat Pump Cylinder,Full Installation"
"4 Salmons Leap, TQ9 6FQ","4 Salmons Leap, Dartington, Totnes, Devon",Own,Detached,3,2,No,,Pre 1965,Has EPC,2017,None,Mains Gas,,No,,14300,"16kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"1 Albion Street, BS5 9DT","1 Albion Street, Bristol",Own,End of terrace,3,3,No,,,Has EPC,2023,"Loft, Wall, Double Glazing",Mains Gas,,No,,12400,"6kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"5 The Closes, HP17 8JN","5 The Closes, Haddenham, Aylesbury, Buckinghamshire",Own,Semi Detached,4,2,No,,,Has EPC,2024,"Loft, Wall, Double Glazing",Mains Gas,,No,,13800,"12kW Midea Heat Pump,250 Litres Heat Pump Cylinder,Full Installation"
"Little Skippet, BA11 5LW","Little Skippet, Cole Hill, East Woodlands, Frome, Somerset",Own,Detached,1,1,No,,,Has EPC,2013,"Loft, Double Glazing",Mains Gas,,No,,18100,"2 x 10kW Midea Heat Pump,210 Litres Heat Pump Cylinder,Full Installation"
"The Hazels, Lower Green, WELWYN, AL6 0HZ","6 The Hazels, Lower Green, Tewin, Welwyn, Hertfordshire",Own,Detached,4,2,No,103,1965 to 1980,Has EPC,2015,"Loft, Wall, Double Glazing",Mains Gas,,No,stagingnotifications@goodenergy.co.uk,14000,"16kW Midea Heat Pump,250 Litres Heat Pump Cylinder,Full Installation"
